node,zip,city,country,visited,priority
0,08258,Vogtlandkreis,Germany,yes,high
1,08258,Markneukirchen,Germany,no,low
2,13589,Berlin,Germany,no,low
3,80939,Munchen,Germany,yes,low
4,86156,Augsburg,Germany,yes,low
5,92421,Schwandorf,Germany,yes,low
6,08258,Markneukirchen,Germany,yes,low
7,08258,Markneukirchen,Germany,yes,high
8,12205,Berlin,Germany,yes,high
9,08258,Markneukirchen,Germany,yes,medium
10,12207,Berlin,Germany,yes,medium
11,08258,Markneukirchen,Germany,yes,medium
12,14979,Grobeeren,Germany,yes,medium
13,20149,Hamburg,Germany,yes,medium
14,08258,Markneukirchen,Germany,yes,medium
15,08258,Markneukirchen,Germany,yes,medium
16,80995,,Germany,yes,medium
17,80939,Munchen,Germany,yes,medium
18,60326,,Germany,yes,medium
19,08258,Markneukirchen,Germany,yes,medium
20,50737,Koln,Germany,yes,medium
21,08258,Markneukirchen,Germany,yes,medium
22,50737,Koln,Germany,yes,medium
23,08258,Markneukirchen,Germany,yes,medium
24,50737,Koln,Germany,yes,medium
25,50737,Koln,Germany,yes,medium
26,08258,Markneukirchen,Germany,yes,medium
27,50737,Koln,Germany,yes,medium
28,08258,Markneukirchen,Germany,yes,medium
29,50737,Koln,Germany,yes,medium
30,08258,Markneukirchen,Germany,yes,medium
31,50737,Koln,Germany,yes,medium
32,08258,Markneukirchen,Germany,yes,medium
33,44263,Dortmund,Germany,yes,medium
34,08258,Markneukirchen,Germany,yes,medium
35,08258,Markneukirchen,Germany,yes,medium
36,92436,Oberpfalz,Germany,yes,medium
37,08258,Markneukirchen,Germany,yes,high
38,1010,Wien,Austria,yes,high
39,14469,Potsdam,Germany,yes,medium
40,08258,Markneukirchen,Germany,yes,medium
41,08258,Markneukirchen,Germany,yes,medium
42,45130,Essen,Germany,yes,medium
43,08258,Markneukirchen,Germany,yes,medium
44,45130,Essen,Germany,yes,medium
45,80939,Munchen,Germany,yes,medium
46,90409,Nurnberg,Germany,yes,medium
47,51105,Koln,Germany,yes,medium
48,80939,Munchen,Germany,yes,medium
49,51105,Koln,Germany,yes,medium
50,80939,Munchen,Germany,yes,medium
51,08258,Markneukirchen,Germany,yes,medium
52,01187,Dresden,Germany,yes,medium
53,08258,Markneukirchen,Germany,yes,medium
54,12203,,Germany,yes,medium
55,70188,,Germany,yes,medium
56,08258,Markneukirchen,Germany,yes,medium
57,26123,Oldenburg,Germany,yes,medium
58,08258,Markneukirchen,Germany,yes,medium
59,26123,Oldenburg,Germany,yes,medium
60,08258,Markneukirchen,Germany,yes,medium
61,26123,Oldenburg,Germany,yes,medium
62,08258,Markneukirchen,Germany,yes,medium
63,26123,Oldenburg,Germany,yes,medium
64,08258,Markneukirchen,Germany,yes,medium
65,53129,Bonn,Germany,yes,medium
66,08258,Markneukirchen,Germany,yes,medium
67,08258,Markneukirchen,Germany,yes,medium
68,53129,Bonn,Germany,yes,medium
69,08258,Markneukirchen,Germany,yes,medium
70,92353,Postbauer-Heng,Germany,yes,medium
71,08258,Markneukirchen,Germany,yes,medium
72,92358,Oberpfalz,Germany,yes,medium
73,08258,Markneukirchen,Germany,yes,medium
74,92358,Oberpfalz,Germany,yes,medium
75,08258,Markneukirchen,Germany,yes,medium
76,92358,Oberpfalz,Germany,yes,medium
77,08258,Markneukirchen,Germany,yes,medium
78,81543,,Germany,yes,medium
79,8020,Graz,Austria,yes,medium
80,08258,Markneukirchen,Germany,yes,medium
81,08258,Markneukirchen,Germany,yes,medium
82,22305,Hamburg,Germany,yes,medium
83,08258,Markneukirchen,Germany,yes,medium
84,25813,Husum,Germany,yes,medium
85,08258,Markneukirchen,Germany,yes,medium
86,13589,Berlin,Germany,yes,medium
87,08258,Markneukirchen,Germany,yes,medium
88,13435,Berlin,Germany,yes,medium
89,08258,Markneukirchen,Germany,yes,medium
90,13125,Berlin,Germany,yes,medium
91,08258,Markneukirchen,Germany,yes,medium
92,16341,Panketal,Germany,yes,medium
93,08258,Markneukirchen,Germany,yes,medium
94,12557,Berlin,Germany,yes,medium
